open,high,low,close,date
418.80,444.90,383.00,385.60,2019-02-01T00:00:00
380.00,406.70,357.70,360.20,2019-03-01T00:00:00
359.00,367.70,308.00,341.20,2019-04-01T00:00:00
336.40,356.00,286.10,305.50,2019-05-01T00:00:00
302.70,413.60,296.30,378.90,2019-06-03T00:00:00
383.40,411.60,325.90,343.90,2019-07-01T00:00:00
342.40,385.00,340.50,374.50,2019-08-01T00:00:00
375.00,399.50,355.10,367.10,2019-09-03T00:00:00
367.00,409.40,357.50,396.20,2019-10-01T00:00:00
397.30,427.70,369.00,416.60,2019-11-01T00:00:00
410.00,421.10,388.60,405.30,2019-12-02T00:00:00
404.00,444.40,387.30,435.50,2020-01-02T00:00:00
434.30,468.30,394.00,399.40,2020-02-03T00:00:00
402.90,420.50,278.50,278.50,2020-03-02T00:00:00
271.10,344.70,251.50,319.70,2020-04-01T00:00:00
320.00,378.50,320.00,367.10,2020-05-01T00:00:00
362.30,447.70,346.30,435.70,2020-06-01T00:00:00
439.00,600.00,435.10,585.80,2020-07-01T00:00:00
595.00,934.50,584.10,928.00,2020-08-03T00:00:00
931.00,1000.00,549.60,612.20,2020-09-01T00:00:00
620.20,629.50,490.80,495.60,2020-10-01T00:00:00
498.50,648.00,495.00,636.80,2020-11-02T00:00:00
641.20,900.50,633.00,873.10,2020-12-01T00:00:00
873.10,912.20,651.40,887.00,2021-01-04T00:00:00
887.00,1030.40,842.90,995.60,2021-02-01T00:00:00
1000.00,1045.00,826.30,1009.10,2021-03-01T00:00:00
1012.60,1502.30,1006.00,1500.50,2021-04-01T00:00:00
1520.60,1711.20,1201.00,1309.50,2021-05-03T00:00:00
1315.00,1380.00,705.00,716.00,2021-06-01T00:00:00
716.00,825.60,490.00,621.20,2021-07-01T00:00:00
623.10,650.00,448.00,482.80,2021-08-02T00:00:00
482.10,659.70,454.40,627.50,2021-09-01T00:00:00
637.10,789.60,588.50,591.60,2021-10-01T00:00:00
595.20,831.80,530.10,824.50,2021-11-01T00:00:00
